id;star_rating;rack_size;amenities;comments
1;FIVE;LARGE;program Intranet;Kentucky expedite
2;FOUR;LARGE;payment;User Jersey payment
3;THREE;LARGE;Buckinghamshire;Bacon Dakota Kyrgyz
4;ONE;MEDIUM;Berkshire;Licensed
5;TWO;MEDIUM;pixel Somali;Greens
6;TWO;MEDIUM;Technician Industrial payment;Lesotho
7;FOUR;LARGE;Arkansas Bhutan Georgia;Dynamic deposit
8;THREE;LARGE;Metal granular;Strategist mission-critical Chief
9;THREE;XL;Cambridgeshire incentivize Account;methodologies systemic
10;FOUR;SMALL;unleash;Architect incremental
